stageId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
1031,107,19872,0,488386,19847,850,4564.4,471645,2373,4434,482520,0,0,5290,0,0,0,4630839296,0,79211,0,515,67515145,93296,11862057757,0,11929572902,8367168851,247163783,3580
163,480,19033,0,1079518,7939,911,2249.0,873061,4897,10538,1061277,0,0,20124,0,0,0,1040252928,20,22599,2627,1136,67380779,204304,12833589456,0,12900970235,15199063631,247163783,16711
125,413,18761,0,1020166,5535,721,2470.1,388288,2924,3885,997744,0,0,8899,0,0,0,671154176,4,18960,573312,3417,24816170,634126,5106628107,0,5131444277,4079524780,247163783,4586
854,800,18641,0,1749295,2783,1374,2186.6,1461795,4205,8921,1732770,0,0,31231,0,0,0,344064000,15,11680,4854,5352,152031849,954631,26902821878,0,27054853727,7322833898,247163783,12516
96,799,18546,0,1456827,3383,656,1823.3,540530,4630,11174,1441086,0,0,8179,0,0,0,251723776,68,15318,880123,3876,36891678,656124,6171443794,0,6208335472,6070335179,247163783,7257
850,800,18364,0,1898905,3236,1284,2373.6,1565429,4145,10496,1879855,0,0,41075,0,0,0,411172864,20,11680,6911,5514,207060583,954469,36960456089,0,37167516672,8782906558,247163783,13788
857,800,17930,0,1483135,2419,1137,1853.9,1233444,4140,9413,1465633,0,0,19440,0,0,0,344064000,55,11680,3415,5387,118424873,954596,21016962236,0,21135387109,3815690597,247163783,9624
843,800,17862,0,3460705,6311,2433,4325.9,2768788,3545,14556,3435054,0,0,108999,0,0,0,570556416,29,8040,5153,6446,331127271,1141726,58592889910,0,58924017181,21075628352,1150017784,23947
826,1044,17762,0,3574701,5396,191,3424.0,2572415,2225,2766,3446331,1072059065,2500000000,36481,0,0,0,335544320,1,2983,0,0,0,0,0,0,0,58888670214,2500000000,44271
1039,107,17708,0,426390,17683,760,3985.0,411892,2316,4588,420498,0,0,5081,0,0,0,4093968384,0,75571,0,526,60692895,93285,10264233045,0,10324925940,6860573223,247163783,2961
142,446,17682,0,860751,6608,588,1929.9,580024,3832,21822,833225,0,0,12979,0,0,0,939589632,21,18959,131430,3569,33725603,634771,6036756963,0,6070482566,7548642824,247163783,8504
137,436,17588,0,687678,6118,408,1577.2,478424,3739,15599,638988,0,0,12776,0,0,0,805371904,25,18960,22591,3600,26768678,633943,4737007864,0,4763776542,4460232629,247163783,5626
835,400,16954,0,411316,1631,479,1028.3,61319,857,1263,405457,5501807,500000,3472,0,0,0,67141632,138,2985,0,0,0,0,0,0,0,28753112,500000,3350
834,400,16787,0,422758,1902,480,1056.9,58269,883,1286,418755,5386972,2000000,2154,0,0,0,67239936,123,2983,0,0,0,0,0,0,0,51680990,2000000,2168
856,800,16464,0,1442080,2304,1027,1802.6,1191224,4076,8489,1425890,0,0,22557,0,0,0,344064000,6,11678,3358,5364,118532215,954619,21003330666,0,21121862881,3146478646,247163783,8774
836,1,16448,0,847,847,847,847.0,132,3,4,834,7680,731,84,0,0,0,67141632,0,2941,0,0,0,0,0,0,0,45136,731,3
853,800,16423,0,1736762,2743,1307,2171.0,1429547,4146,8679,1719799,0,0,34481,0,0,0,344064000,20,11680,4954,5329,152175029,954654,26889154470,0,27041329499,6405528925,247163783,12306
146,465,16357,0,556668,5181,325,1197.1,423983,3493,12938,539628,0,0,7607,0,0,0,738263040,2,18957,43447,3600,17008106,635537,2972557314,0,2989565420,2859883217,247163783,3951
860,800,16282,0,1553950,2496,1072,1942.4,1285002,4153,9555,1536733,0,0,22509,0,0,0,344064000,2,11680,5203,5334,132565415,954649,23402672508,0,23535237923,3919289146,247163783,9761
832,400,16253,0,310726,1733,427,776.8,46931,902,1261,307922,5532207,500000,838,0,0,0,67141632,1,2942,0,0,0,0,0,0,0,28836609,500000,1079
831,400,15484,0,258904,1433,419,647.3,55423,894,1418,255640,5568496,2000000,1336,0,0,0,67239936,0,2942,0,0,0,0,0,0,0,35346967,2000000,1350
839,800,15060,0,4577094,7884,2994,5721.4,3426796,3523,18973,4544077,0,0,151771,0,0,0,704774144,59,8040,85058,6384,450968940,1141788,80415733290,0,80866702230,37107757915,1150017784,37120
892,427,15058,0,956337,9422,258,2239.7,791990,3568,8652,942948,0,0,17238,0,0,0,1476460544,6,18917,1076,3893,55169824,636819,9991831853,0,10047001677,12900641198,247163783,11837
833,1,14943,0,390,390,390,390.0,75,3,4,383,7714,731,0,0,0,0,67141632,0,2898,0,0,0,0,0,0,0,44970,731,1
204,480,14878,0,828988,5485,835,1727.1,626453,4839,11069,812109,0,0,12921,0,0,0,654376960,71,23028,506,1209,40414029,213351,7508273931,0,7548687960,2997785907,105605679,7083
828,400,14512,0,239245,1043,422,598.1,52214,929,1481,235766,5557007,500000,2083,0,0,0,67141632,0,2942,0,0,0,0,0,0,0,20983593,500000,1208
335,306,14501,0,936810,11239,248,3061.5,783323,8429,12571,920285,0,0,9863,0,0,0,2349137920,0,103795,101128,237,1279287117,31333,22515771875,0,23795058992,23231399474,247163783,14046
209,480,14448,0,339929,1696,193,708.2,240019,4065,6658,328241,0,0,5984,0,0,0,335904768,18,23030,464,1348,18031002,222332,2841897351,0,2859928353,2444843,22708,177
203,480,14235,0,881159,5670,670,1835.7,653589,6159,14020,860747,0,0,12604,0,0,0,654376960,19,23030,2404,1191,43555075,213369,7505132885,0,7548687960,3918805400,105605679,7115
829,50,14001,0,16160,496,240,323.2,2849,150,287,15645,381702,5000,146,0,0,0,67141632,0,2941,0,0,0,0,0,0,0,355272,5000,23
830,1,13929,0,438,438,438,438.0,106,3,4,431,7749,731,0,0,0,0,67141632,0,2898,0,0,0,0,0,0,0,37994,731,3
867,798,13738,0,1047313,2230,618,1312.4,875954,5247,10297,1029012,0,0,14897,0,0,0,318832640,30,15320,677,5006,49161315,887923,8769771777,0,8818933092,10046493193,247163783,14402
862,800,13718,0,1492965,2499,1158,1866.2,1261537,4105,9784,1474937,0,0,21427,0,0,0,344064000,81,11679,5209,5356,132415941,954627,23458245842,0,23590661783,4347114303,247163783,9803
841,800,13669,0,3783464,6591,2311,4729.3,3031545,3597,14726,3756138,0,0,119873,0,0,0,637665280,84,8040,4263,6369,328212480,1141803,58626320623,0,58954533103,26995094970,1150017784,29667
827,400,13638,0,251476,830,437,628.7,63750,908,2887,246370,5861590,3000000,2273,0,0,0,67239936,1,2983,0,0,0,0,0,0,0,46234529,3000000,1559
23,2,12852,0,12543,6629,5914,6271.5,1797,8,12,12508,428672,160000,0,0,0,0,69206016,0,2899,0,0,0,0,0,0,0,2373499,160000,8
174,480,12704,0,1395757,9530,1564,2907.8,1015382,7775,23959,1353544,0,0,23331,0,0,0,1107361792,21,22600,83026,1113,76060601,200487,14172304720,0,14248365321,21175130179,247163783,20449
896,417,12503,0,603374,6109,243,1446.9,490997,3394,9866,589010,0,0,9272,0,0,0,805371904,0,18917,295,4021,25802640,637488,4562364071,0,4588166711,3526485325,247163783,4727
45,1,12342,0,6123,6123,6123,6123.0,566,3,8,6109,234464,120017,22,0,0,0,69206016,0,2939,0,0,0,0,0,0,0,819393,120017,5
870,799,12314,0,863958,1772,503,1081.3,703294,5359,9184,846641,0,0,13014,0,0,0,251723776,32,15319,458,5029,36173871,887900,6390338647,0,6426512518,4587811439,247163783,10123
168,480,12216,0,584884,3776,341,1218.5,459495,5494,9168,570335,0,0,10519,0,0,0,553713664,14,23365,1643,1028,20174549,197692,4059388225,0,4079562774,779895306,99532655,3932
185,480,12205,0,784509,4512,648,1634.4,605178,4810,10140,768804,0,0,10588,0,0,0,494993408,54,23030,2007,1231,43538904,218609,7178253449,0,7221792353,2711930619,92857964,6260
40,1,12088,0,5961,5961,5961,5961.0,566,2,7,5948,234464,119991,19,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,940748,119991,28
901,487,12061,0,563097,5708,276,1156.3,491391,3457,7165,551915,0,0,7501,0,0,0,805371904,3,18917,402,3974,17695220,638332,3138539916,0,3156235136,4561831809,247163783,5657
899,434,11980,0,831164,8540,373,1915.1,723618,3715,9392,818038,0,0,12635,0,0,0,1409351680,1,18958,509,3790,47745206,637719,8417982070,0,8465727276,11329326089,247163783,9813
820,1044,11818,0,5671274,11802,197,5432.3,3483954,5223,12658,5627228,1074108889,2500000000,140175,0,0,0,335544320,0,2942,0,0,0,0,0,0,0,80800839341,2500000000,59195
38,1,11745,0,5871,5871,5871,5871.0,516,3,7,5859,214560,80000,0,0,0,0,69206016,0,2898,0,0,0,0,0,0,0,1467163,80000,6
191,480,11669,0,390675,2460,243,813.9,272885,4772,9012,376298,0,0,6819,0,0,0,335904768,21,23029,1314,1278,25398443,208482,4434879322,0,4460277765,2635279,22708,207
197,200,11631,0,270405,2744,509,1352.0,190661,1872,4596,263046,0,0,5293,0,0,0,470122496,213,23029,1664,1226,2674556,211414,439786226,0,442460782,950084,8414,56
181,480,11396,0,758160,4609,580,1579.5,597695,4719,10265,742677,0,0,12906,0,0,0,494993408,35,23030,405,1145,30432519,199495,5264711186,0,5295143705,1440099238,119570384,4867
931,480,11323,0,1049176,6937,958,2185.8,849513,4612,16646,1026947,0,0,16495,0,0,0,973144064,0,22557,6015,1177,61909777,207623,11267464119,0,11329373896,13073170113,247163783,13331
872,799,11258,0,1024998,2224,422,1282.9,863073,5599,10266,1005509,0,0,13881,0,0,0,318832640,2,15319,568,5040,41325799,887889,7317534633,0,7358860432,8465218792,247163783,12839
79,798,11184,0,1280770,3359,392,1605.0,633653,7879,28118,1245202,0,0,10214,0,0,0,251723776,104,15319,330765,5202,43707491,654798,5457973163,0,5501680654,5650618010,247163783,8891
31,2,11151,0,17150,10969,6181,8575.0,2895,16,26,17112,430976,160000,337,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,1594455,160000,7
907,443,11112,0,499482,5507,279,1127.5,440650,3202,5822,490323,0,0,6747,0,0,0,805371904,4,18959,186,3841,18988758,638465,3298840944,0,3317829702,2932729898,247163783,3756
21,138,10941,0,854396,9813,2684,6191.3,476656,891,1344,852326,141989739,334162000,28942,0,0,0,335544320,0,2942,0,0,0,0,0,0,0,10800056150,334162000,5870
25,2,10907,0,21568,10904,10664,10784.0,6041,32,46,21513,445456,160000,496,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,1016830,160000,7
875,800,10515,0,658975,1415,356,823.7,533393,4854,8518,643527,0,0,11158,0,0,0,251723776,16,15320,424,5021,17808389,887908,3149653850,0,3167462239,1487329697,247163783,7040
874,800,10461,0,746235,1560,451,932.8,619929,4848,7683,731693,0,0,9719,0,0,0,251723776,11,15320,285,4990,17853179,887939,3164652001,0,3182505180,3155879864,247163783,8721
318,301,10424,0,651884,8974,181,2165.7,588559,7642,15319,632407,0,0,7590,0,0,0,1879375872,0,102059,28660,266,1264671918,31304,14628429165,0,15893101083,14780365958,247163783,8669
27,47,10396,0,140161,3276,2811,2982.1,105396,169,304,139403,48447633,113274700,1902,0,0,0,268435456,0,2942,0,0,0,0,0,0,0,3797538814,113274700,1936
878,800,10292,0,800479,1752,411,1000.6,661348,4930,8734,784276,0,0,10002,0,0,0,251723776,4,15319,337,5006,21638629,887923,3822888577,0,3844527206,3317474430,247163783,8620
937,480,10238,0,1038335,7074,1010,2163.2,906660,4551,11809,1021993,0,0,14066,0,0,0,1040252928,5,22557,2481,1105,65048941,204335,12835640064,0,12900689005,14898801352,247163783,15094
954,480,10218,0,633783,3451,498,1320.4,536142,4132,8129,621427,0,0,5036,0,0,0,654376960,2,22987,452,1220,23762894,233020,4538114051,0,4561876945,2001047543,105605679,4164
152,480,10009,0,850363,4137,740,1771.6,610407,18623,36988,808077,0,0,12566,0,0,0,494993408,39,23028,60,1093,33223744,197627,6101763307,0,6134987051,1884552515,76417835,5101
