stageId,accumulatorId,name,min,median,max,total
4,9707,"internal.metrics.shuffle.write.bytesWritten",121502,121924,122346,243848
4,9708,"internal.metrics.shuffle.write.recordsWritten",2500,2500,2500,5000
4,9709,"internal.metrics.shuffle.write.writeTime",2876969,3109622,3342275,6219244
4,9710,"internal.metrics.input.bytesRead",189651,189660,189669,379320
4,9711,"internal.metrics.input.recordsRead",2500,2500,2500,5000
5,586,"number of output rows",731,731,731,731
5,587,"scan time",243,243,243,243
5,6403,"data size",29240,29240,29240,29240
5,6422,"shuffle bytes written",47807,47807,47807,47807
5,6423,"shuffle records written",731,731,731,731
5,6424,"shuffle write time",2413282,2413282,2413282,2413282
5,6425,"duration",267,267,267,267
5,6426,"number of output rows",731,731,731,731
5,6427,"number of output rows",731,731,731,731
5,6428,"number of input batches",1,1,1,1
5,9714,"internal.metrics.executorDeserializeTime",14,14,14,14
5,9715,"internal.metrics.executorDeserializeCpuTime",7652587,7652587,7652587,7652587
5,9716,"internal.metrics.executorRunTime",335,335,335,335
5,9717,"internal.metrics.executorCpuTime",144811834,144811834,144811834,144811834
5,9718,"internal.metrics.resultSize",2897,2897,2897,2897
5,9723,"internal.metrics.peakExecutionMemory",67141632,67141632,67141632,67141632
5,9742,"internal.metrics.shuffle.write.bytesWritten",47807,47807,47807,47807
5,9743,"internal.metrics.shuffle.write.recordsWritten",731,731,731,731
5,9744,"internal.metrics.shuffle.write.writeTime",2413282,2413282,2413282,2413282
5,9745,"internal.metrics.input.bytesRead",7714,7714,7714,7714
5,9746,"internal.metrics.input.recordsRead",731,731,731,731
6,769,"number of output rows",2410100,2412959,3978300,2500000000
6,770,"scan time",137,1521,42383,1819078
6,6584,"data size",154246400,154439971,254611200,160000000000
6,6603,"shuffle bytes written",80785879,80899450,133236120,83812106870
6,6604,"shuffle records written",2410100,2412959,3978300,2500000000
6,6605,"shuffle write time",38098508,47104964,133112535,48801016957
6,6606,"duration",139,2165,44683,2509501
6,6607,"number of output rows",2410100,2412959,3978300,2500000000
6,6608,"number of output rows",2410100,2412959,3978300,2500000000
6,6609,"number of input batches",589,589,972,610970
6,9749,"internal.metrics.executorDeserializeTime",1,13,1240,29995
6,9750,"internal.metrics.executorDeserializeCpuTime",1314577,13100837,606380257,13677544803
6,9751,"internal.metrics.executorRunTime",143,3755,47550,4175311
6,9752,"internal.metrics.executorCpuTime",47592049,2467050709,6676097095,2575601216685
6,9753,"internal.metrics.resultSize",2724,2890,2984,3063180
6,9754,"internal.metrics.jvmGCTime",12,12,526,48638
6,9755,"internal.metrics.resultSerializationTime",2,2,4,20
6,9758,"internal.metrics.peakExecutionMemory",32768,266635581,402653184,278367830016
6,9777,"internal.metrics.shuffle.write.bytesWritten",80785879,80899450,133236120,83812106870
6,9778,"internal.metrics.shuffle.write.recordsWritten",2410100,2412959,3978300,2500000000
6,9779,"internal.metrics.shuffle.write.writeTime",38098508,47104964,133112535,48801016957
6,9780,"internal.metrics.input.bytesRead",1005925,1030332,1047361,1076033199
6,9781,"internal.metrics.input.recordsRead",2410100,2412959,3978300,2500000000
7,800,"number of output rows",80000,80000,80000,2000000
7,801,"scan time",5613,5977,6236,149579
7,6613,"data size",3840000,3840000,3840000,96000000
7,6632,"shuffle bytes written",1183291,1185927,1189704,29648300
7,6633,"shuffle records written",80000,80000,80000,2000000
7,6634,"shuffle write time",3583705,4309109,6381865,107727894
7,6635,"duration",5659,6023,6282,150765
7,6636,"number of output rows",80000,80000,80000,2000000
7,6637,"number of output rows",80000,80000,80000,2000000
7,6638,"number of input batches",32,32,32,800
7,9784,"internal.metrics.executorDeserializeTime",1,3,26,269
7,9785,"internal.metrics.executorDeserializeCpuTime",1598352,4489420,7882228,112235671
7,9786,"internal.metrics.executorRunTime",5757,6128,6371,153353
7,9787,"internal.metrics.executorCpuTime",495086829,589846426,704700519,14746160789
7,9788,"internal.metrics.resultSize",2896,2910,2941,72899
